pathway	gene
FOXA1 TRANSCRIPTION FACTOR NETWORK	SFTPD
FOXA1 TRANSCRIPTION FACTOR NETWORK	CDKN1B
FOXA1 TRANSCRIPTION FACTOR NETWORK	ATP5J
FOXA1 TRANSCRIPTION FACTOR NETWORK	DSCAM
FOXA1 TRANSCRIPTION FACTOR NETWORK	XBP1
FOXA1 TRANSCRIPTION FACTOR NETWORK	SERPINA1
FOXA1 TRANSCRIPTION FACTOR NETWORK	EP300
FOXA1 TRANSCRIPTION FACTOR NETWORK	FOS
FOXA1 TRANSCRIPTION FACTOR NETWORK	JUN
FOXA1 TRANSCRIPTION FACTOR NETWORK	NCOA3
FOXA1 TRANSCRIPTION FACTOR NETWORK	NR2F2
FOXA1 TRANSCRIPTION FACTOR NETWORK	AP1B1
FOXA1 TRANSCRIPTION FACTOR NETWORK	BRCA1
FOXA1 TRANSCRIPTION FACTOR NETWORK	CEBPB
FOXA1 TRANSCRIPTION FACTOR NETWORK	SOD1
FOXA1 TRANSCRIPTION FACTOR NETWORK	COL18A1
FOXA1 TRANSCRIPTION FACTOR NETWORK	SP1
FOXA1 TRANSCRIPTION FACTOR NETWORK	AR
FOXA1 TRANSCRIPTION FACTOR NETWORK	SHH
FOXA1 TRANSCRIPTION FACTOR NETWORK	NFIC
FOXA1 TRANSCRIPTION FACTOR NETWORK	NFIB
FOXA1 TRANSCRIPTION FACTOR NETWORK	NFIA
FOXA1 TRANSCRIPTION FACTOR NETWORK	PRDM15
FOXA1 TRANSCRIPTION FACTOR NETWORK	ESR1
FOXA1 TRANSCRIPTION FACTOR NETWORK	PISD
FOXA1 TRANSCRIPTION FACTOR NETWORK	NRIP1
FOXA1 TRANSCRIPTION FACTOR NETWORK	NKX3-1
FOXA1 TRANSCRIPTION FACTOR NETWORK	CREBBP
FOXA1 TRANSCRIPTION FACTOR NETWORK	POU2F1
SUMOYLATION BY RANBP2 REGULATES TRANSCRIPTIONAL REPRESSION	HDAC1
SUMOYLATION BY RANBP2 REGULATES TRANSCRIPTIONAL REPRESSION	XPO1
SUMOYLATION BY RANBP2 REGULATES TRANSCRIPTIONAL REPRESSION	HDAC4
SUMOYLATION BY RANBP2 REGULATES TRANSCRIPTIONAL REPRESSION	SUMO1
SUMOYLATION BY RANBP2 REGULATES TRANSCRIPTIONAL REPRESSION	RANGAP1
SUMOYLATION BY RANBP2 REGULATES TRANSCRIPTIONAL REPRESSION	PIAS2
SUMOYLATION BY RANBP2 REGULATES TRANSCRIPTIONAL REPRESSION	RAN
SUMOYLATION BY RANBP2 REGULATES TRANSCRIPTIONAL REPRESSION	PIAS1
SUMOYLATION BY RANBP2 REGULATES TRANSCRIPTIONAL REPRESSION	MDM2
SUMOYLATION BY RANBP2 REGULATES TRANSCRIPTIONAL REPRESSION	RANBP2
GLYPICAN 3 NETWORK	BMP4
GLYPICAN 3 NETWORK	PTCH1
GLYPICAN 3 NETWORK	SHH
GLYPICAN 3 NETWORK	GPC3
GLYPICAN 3 NETWORK	FGF7
GLYPICAN 3 NETWORK	MAPK9
GLYPICAN 3 NETWORK	FURIN
